question,Interpersonal Agreement,Majority Vote,Compliance Score,Average DoX,Max Confidence
Are these measures designed to enable individuals to understand the capacities and limitations of the AI system?,N,Y,0.66,1.2,0.55
Are there sections detailing the use of any pre-trained systems or third-party tools?,Y,"Y, partially",0.44,0.74,0.6
Are there instructions for users on how to use the AI system?,N,"Y, partially",0.3,0.49,0.61
Are there any requirements related to version updates?,Y,Y,0.3,0.57,0.52
Are the versions of relevant software or firmware listed?,Y,Y,0.31,0.57,0.55
Are the persons or teams responsible for developing the AI system clearly identified?,N,"Y, partially",0.35,0.55,0.63
"Are the measures for human oversight identified and built into the high-risk AI system by the provider, or are they identified as appropriate to be implemented by the user?",Y,Y,0.8,1.14,0.71
"Are the design specifications, including the general logic and algorithms, clearly outlined?",Y,Y,0.46,1.0,0.45
"Are the data requirements including datasheets, training methodologies, and data sets described?",Y,Y,0.39,0.81,0.48
Are testing procedures suitable for the intended purpose?,Y,Y,0.51,0.82,0.63
"Are testing procedures performed at appropriate times, including before market placement?",Y,Y,0.51,0.77,0.66
Are technical measures for human oversight outlined?,Y,Y,0.68,1.01,0.67
Are suitable risk management measures adopted?,Y,Y,0.84,1.16,0.72
Are specifications on input data provided?,Y,Y,0.3,0.62,0.48
Are risks estimated and evaluated both for intended use and conditions of reasonably foreseeable misuse?,Y,"Y, partially",0.58,0.9,0.65
Are residual risks communicated to the user?,Y,Y,0.57,0.7,0.81
Are mitigation and control measures implemented for risks that cannot be eliminated?,Y,Y,0.81,1.14,0.71
Are metrics and probabilistic thresholds defined preliminarily?,N,"Y, partially",0.5,0.82,0.61
Are measures in place to ensure individuals remain aware of the possible tendency of automatically relying or over-relying on the output produced by the high-risk AI system?,Y,"Y, partially",0.73,1.04,0.7
Are known and foreseeable risks associated with the high-risk AI system identified and analyzed?,Y,Y,0.81,1.09,0.75
Are high-risk AI systems tested to identify the most appropriate risk management measures?,Y,Y,0.98,1.21,0.81
"Are foreseeable unintended outcomes and risks, including to health and safety and fundamental rights, described?",Y,Y,0.6,1.16,0.52
